Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Age,Gender,Device,Kategori,Durasi Langganan (hari),Country_Australia,Country_Brazil,Country_Canada,Country_France,Country_Germany,Country_Italy,Country_Mexico,Country_Spain,Country_United Kingdom,Country_United States,Plan Duration_1 Month
0,10,2022-07-07,2023-06-28,37,1,2,1,356,False,False,True,False,False,False,False,False,False,False,True
2,12,2022-01-21,2023-06-27,41,0,1,1,522,False,False,False,False,False,False,False,False,True,False,True
2,12,2022-05-25,2023-06-26,29,1,3,1,397,True,False,False,False,False,False,False,False,False,False,True
0,10,2023-11-04,2023-06-28,39,0,4,1,-129,False,False,False,False,True,False,False,False,False,False,True
1,15,2022-01-03,2023-06-27,35,1,2,1,540,False,False,False,True,False,False,False,False,False,False,True
0,10,2022-09-14,2023-06-25,45,0,1,1,284,False,True,False,False,False,False,False,False,False,False,True
2,12,2021-05-11,2023-06-24,32,1,3,1,774,False,False,False,False,False,False,True,False,False,False,True
1,15,2022-12-28,2023-06-23,27,0,4,1,177,False,False,False,False,False,False,False,True,False,False,True
0,10,2023-07-03,2023-06-22,48,1,2,1,-11,False,False,False,False,False,True,False,False,False,False,True
1,15,2023-01-20,2023-06-22,31,0,1,1,153,False,False,False,False,False,False,False,False,False,True,True
0,10,2022-06-15,2023-06-28,40,1,3,1,378,False,False,True,False,False,False,False,False,False,False,True
2,12,2022-07-02,2023-06-27,36,0,4,1,360,False,False,False,False,False,False,False,False,True,False,True
2,12,2022-04-26,2023-06-26,29,1,2,1,426,True,False,False,False,False,False,False,False,False,False,True
0,10,2023-01-28,2023-06-28,43,0,1,1,151,False,False,False,False,True,False,False,False,False,False,True
1,15,2022-02-23,2023-06-27,34,1,3,1,489,False,False,False,True,False,False,False,False,False,False,True
0,10,2022-05-10,2023-06-25,39,0,4,1,411,False,True,False,False,False,False,False,False,False,False,True
2,12,2021-09-15,2023-06-24,32,1,2,1,647,False,False,False,False,False,False,True,False,False,False,True
1,15,2022-10-11,2023-06-23,28,0,1,1,255,False,False,False,False,False,False,False,True,False,False,True
0,10,2023-02-06,2023-06-22,45,1,3,1,136,False,False,False,False,False,True,False,False,False,False,True
1,15,2023-02-27,2023-06-22,30,0,4,1,115,False,False,False,False,False,False,False,False,False,True,True
0,10,2022-08-29,2023-06-28,37,1,2,1,303,False,False,True,False,False,False,False,False,False,False,True
2,12,2022-01-13,2023-06-27,41,0,1,1,530,False,False,False,False,False,False,False,False,True,False,True
2,12,2022-06-30,2023-06-26,29,1,3,1,361,True,False,False,False,False,False,False,False,False,False,True
0,10,2023-04-20,2023-06-28,39,0,4,1,69,False,False,False,False,True,False,False,False,False,False,True
1,15,2022-03-15,2023-06-27,36,1,2,1,469,False,False,False,True,False,False,False,False,False,False,True
0,10,2022-01-10,2023-06-25,46,0,1,1,531,False,True,False,False,False,False,False,False,False,False,True
2,12,2021-08-10,2023-06-24,34,1,3,1,683,False,False,False,False,False,False,True,False,False,False,True
1,15,2022-03-12,2023-06-23,27,0,4,1,468,False,False,False,False,False,False,False,True,False,False,True
0,10,2023-06-14,2023-06-22,42,1,2,1,8,False,False,False,False,False,True,False,False,False,False,True
1,15,2023-08-02,2023-06-22,28,0,1,1,-41,False,False,False,False,False,False,False,False,False,True,True
0,10,2022-03-08,2023-06-28,37,1,3,1,477,False,False,True,False,False,False,False,False,False,False,True
2,12,2022-02-23,2023-06-27,41,0,4,1,489,False,False,False,False,False,False,False,False,True,False,True
2,12,2022-06-20,2023-06-26,29,1,2,1,371,True,False,False,False,False,False,False,False,False,False,True
0,10,2023-03-29,2023-06-28,40,0,1,1,91,False,False,False,False,True,False,False,False,False,False,True
1,15,2022-01-30,2023-06-27,29,1,3,1,513,False,False,False,True,False,False,False,False,False,False,True
0,10,2022-09-18,2023-06-25,47,0,4,1,280,False,True,False,False,False,False,False,False,False,False,True
2,12,2021-09-11,2023-06-24,33,1,2,1,651,False,False,False,False,False,False,True,False,False,False,True
1,15,2022-12-23,2023-06-23,36,0,1,1,182,False,False,False,False,False,False,False,True,False,False,True
0,10,2023-08-05,2023-06-22,41,1,3,1,-44,False,False,False,False,False,True,False,False,False,False,True
0,10,2022-01-26,2023-06-20,27,1,3,1,510,False,False,False,False,False,False,False,False,False,True,True
0,10,2022-11-10,2023-06-22,31,0,3,1,224,False,False,True,False,False,False,False,False,False,False,True
2,12,2022-09-27,2023-06-26,28,0,1,1,272,False,False,False,False,False,False,False,False,True,False,True
1,13,2022-12-14,2023-06-25,41,0,3,1,193,True,False,False,False,False,False,False,False,False,False,True
0,13,2022-05-28,2023-06-26,28,0,1,1,394,False,False,False,False,True,False,False,False,False,False,True
0,13,2021-12-29,2023-06-26,51,0,1,2,544,False,False,False,True,False,False,False,False,False,False,True
1,15,2022-12-25,2023-06-23,45,0,3,1,180,False,True,False,False,False,False,False,False,False,False,True
2,15,2022-11-18,2023-06-28,49,1,2,2,222,False,False,False,False,False,False,True,False,False,False,True
2,15,2022-03-12,2023-06-25,43,0,1,1,470,False,False,False,False,False,False,False,True,False,False,True
0,12,2022-08-11,2023-06-22,43,1,2,1,315,False,False,False,False,False,True,False,False,False,False,True
1,10,2023-11-01,2023-06-24,37,1,2,1,-130,False,False,False,False,False,False,False,False,False,True,True
2,12,2022-07-12,2023-06-28,35,1,1,1,351,False,False,True,False,False,False,False,False,False,False,True
0,10,2022-10-20,2023-06-26,46,0,3,1,249,False,False,False,False,False,False,False,False,True,False,True
2,12,2023-04-13,2023-06-25,32,1,3,1,73,True,False,False,False,False,False,False,False,False,False,True
1,10,2023-06-04,2023-06-27,37,0,1,1,23,False,False,False,False,True,False,False,False,False,False,True
0,11,2022-04-03,2023-06-25,29,0,3,1,448,False,False,False,True,False,False,False,False,False,False,True
1,15,2021-12-28,2023-06-23,45,1,4,1,542,False,True,False,False,False,False,False,False,False,False,True
2,12,2022-09-27,2023-06-28,47,1,2,1,274,False,False,False,False,False,False,True,False,False,False,True
0,15,2022-10-20,2023-06-26,39,1,3,1,249,False,False,False,False,False,False,False,True,False,False,True
2,13,2023-03-02,2023-06-23,49,0,3,2,113,False,False,False,False,False,True,False,False,False,False,True
1,11,2022-03-10,2023-06-23,39,1,2,1,470,False,False,False,False,False,False,False,False,False,True,True
0,14,2022-05-01,2023-06-28,39,1,4,1,423,False,False,True,False,False,False,False,False,False,False,True
2,12,2022-05-02,2023-06-26,35,1,3,1,420,False,False,False,False,False,False,False,False,True,False,True
1,12,2022-03-19,2023-06-25,44,1,3,1,463,True,False,False,False,False,False,False,False,False,False,True
0,11,2022-02-28,2023-06-25,34,1,1,1,482,False,False,False,False,True,False,False,False,False,False,True
1,14,2022-07-26,2023-06-24,32,1,1,1,333,False,False,False,True,False,False,False,False,False,False,True
0,10,2022-05-03,2023-06-24,29,0,2,1,417,False,True,False,False,False,False,False,False,False,False,True
2,13,2022-07-03,2023-06-28,31,0,2,1,360,False,False,False,False,False,False,True,False,False,False,True
2,12,2023-01-13,2023-06-24,29,0,2,1,162,False,False,False,False,False,False,False,True,False,False,True
0,12,2023-01-22,2023-06-25,35,1,1,1,154,False,False,False,False,False,True,False,False,False,False,True
1,11,2022-10-17,2023-06-24,46,0,2,1,250,False,False,False,False,False,False,False,False,False,True,True
0,12,2022-03-29,2023-06-28,31,1,2,1,456,False,False,True,False,False,False,False,False,False,False,True
2,13,2022-04-04,2023-06-26,36,1,1,1,448,False,False,False,False,False,False,False,False,True,False,True
1,10,2022-08-06,2023-06-25,38,1,1,1,323,True,False,False,False,False,False,False,False,False,False,True
0,11,2022-04-03,2023-06-27,46,0,1,1,450,False,False,False,False,True,False,False,False,False,False,True
1,10,2022-03-18,2023-06-24,49,0,2,2,463,False,False,False,True,False,False,False,False,False,False,True
0,14,2022-07-03,2023-06-24,29,0,4,1,356,False,True,False,False,False,False,False,False,False,False,True
2,12,2022-05-24,2023-06-25,27,0,4,1,397,False,False,False,False,False,False,True,False,False,False,True
2,13,2023-08-02,2023-06-25,35,0,2,1,-38,False,False,False,False,False,False,False,True,False,False,True
0,13,2023-01-26,2023-06-24,37,0,1,1,149,False,False,False,False,False,True,False,False,False,False,True
1,14,2022-07-14,2023-06-27,40,1,2,1,348,False,False,False,False,False,False,False,False,False,True,True
0,10,2022-01-06,2023-06-28,33,0,1,1,538,False,False,True,False,False,False,False,False,False,False,True
2,15,2022-07-05,2023-06-26,37,1,2,1,356,False,False,False,False,False,False,False,False,True,False,True
1,10,2022-11-18,2023-06-25,48,1,3,1,219,True,False,False,False,False,False,False,False,False,False,True
0,11,2022-05-04,2023-06-25,50,0,1,2,417,False,False,False,False,True,False,False,False,False,False,True
1,14,2022-05-19,2023-06-23,45,0,4,1,400,False,False,False,True,False,False,False,False,False,False,True
0,15,2021-10-30,2023-06-23,40,0,2,1,601,False,True,False,False,False,False,False,False,False,False,True
2,12,2022-07-08,2023-06-27,33,1,3,1,354,False,False,False,False,False,False,True,False,False,False,True
2,11,2022-09-20,2023-06-25,44,0,3,1,278,False,False,False,False,False,False,False,True,False,False,True
0,10,2022-10-18,2023-06-25,30,0,4,1,250,False,False,False,False,False,True,False,False,False,False,True
1,15,2022-03-10,2023-06-24,27,1,4,1,471,False,False,False,False,False,False,False,False,False,True,True
0,11,2022-03-05,2023-06-28,51,1,4,2,480,False,False,True,False,False,False,False,False,False,False,True
2,13,2022-05-25,2023-06-26,49,0,3,2,397,False,False,False,False,False,False,False,False,True,False,True
1,15,2022-05-11,2023-06-25,43,1,1,1,410,True,False,False,False,False,False,False,False,False,False,True
0,12,2022-08-21,2023-06-24,42,1,3,1,307,False,False,False,False,True,False,False,False,False,False,True
1,13,2022-09-21,2023-06-23,45,1,1,1,275,False,False,False,True,False,False,False,False,False,False,True
0,10,2021-11-23,2023-06-23,36,1,3,1,577,False,True,False,False,False,False,False,False,False,False,True
2,12,2022-06-10,2023-06-27,48,1,3,1,382,False,False,False,False,False,False,True,False,False,False,True
2,13,2022-05-11,2023-06-23,38,1,4,1,408,False,False,False,False,False,False,False,True,False,False,True
0,14,2023-07-01,2023-06-23,43,0,2,1,-8,False,False,False,False,False,True,False,False,False,False,True
1,15,2022-06-10,2023-06-23,47,1,1,1,378,False,False,False,False,False,False,False,False,False,True,True
0,15,2022-06-24,2023-06-28,48,0,4,1,369,False,False,True,False,False,False,False,False,False,False,True
2,13,2022-06-24,2023-06-26,47,1,4,1,367,False,False,False,False,False,False,False,False,True,False,True
1,15,2022-05-11,2023-06-25,32,1,2,1,410,True,False,False,False,False,False,False,False,False,False,True
0,13,2022-07-18,2023-06-26,47,0,4,1,343,False,False,False,False,True,False,False,False,False,False,True
1,12,2022-09-13,2023-06-26,41,0,4,1,286,False,False,False,True,False,False,False,False,False,False,True
0,12,2022-10-08,2023-06-22,49,1,1,2,257,False,True,False,False,False,False,False,False,False,False,True
2,15,2022-09-21,2023-06-23,28,1,1,1,275,False,False,False,False,False,False,True,False,False,False,True
2,13,2023-03-24,2023-06-23,40,1,3,1,91,False,False,False,False,False,False,False,True,False,False,True
0,12,2022-02-05,2023-06-23,43,0,3,1,503,False,False,False,False,False,True,False,False,False,False,True
1,12,2022-11-05,2023-06-27,42,1,3,1,234,False,False,False,False,False,False,False,False,False,True,True
0,14,2022-10-06,2023-06-22,28,1,4,1,259,False,False,True,False,False,False,False,False,False,False,True
2,14,2022-08-31,2023-06-24,30,0,2,1,297,False,False,False,False,False,False,False,False,True,False,True
1,10,2022-08-17,2023-06-26,33,1,4,1,313,True,False,False,False,False,False,False,False,False,False,True
0,11,2022-05-05,2023-06-26,35,0,1,1,417,False,False,False,False,True,False,False,False,False,False,True
0,10,2022-06-10,2023-06-25,38,1,2,1,380,False,False,False,True,False,False,False,False,False,False,True
0,12,2022-08-11,2023-06-24,49,0,1,2,317,False,True,False,False,False,False,False,False,False,False,True
2,15,2022-11-27,2023-06-28,39,0,3,1,213,False,False,False,False,False,False,True,False,False,False,True
1,13,2022-11-17,2023-06-27,46,0,4,1,222,False,False,False,False,False,False,False,True,False,False,True
0,10,2022-12-15,2023-06-23,47,0,1,1,190,False,False,False,False,False,True,False,False,False,False,True
0,15,2022-12-12,2023-06-25,30,0,1,1,195,False,False,False,False,False,False,False,False,False,True,True
1,14,2022-11-23,2023-06-27,33,0,2,1,216,False,False,True,False,False,False,False,False,False,False,True
2,11,2022-12-25,2023-06-24,47,1,3,1,181,False,False,False,False,False,False,False,False,True,False,True
2,11,2023-11-03,2023-06-27,27,1,1,1,-129,True,False,False,False,False,False,False,False,False,False,True
0,14,2022-11-18,2023-06-27,28,1,2,1,221,False,False,False,False,True,False,False,False,False,False,True
1,15,2022-08-19,2023-06-25,47,1,3,1,310,False,False,False,True,False,False,False,False,False,False,True
2,14,2022-09-27,2023-06-24,30,1,1,1,270,False,True,False,False,False,False,False,False,False,False,True
0,13,2022-10-19,2023-06-28,47,0,3,1,252,False,False,False,False,False,False,True,False,False,False,True
2,10,2022-12-21,2023-06-26,51,0,4,2,187,False,False,False,False,False,False,False,True,False,False,True
1,15,2022-10-27,2023-06-25,39,1,3,1,241,False,False,False,False,False,True,False,False,False,False,True
0,10,2022-10-23,2023-06-24,45,1,2,1,244,False,False,False,False,False,False,False,False,False,True,True
1,15,2022-04-19,2023-06-25,31,1,1,1,432,False,False,True,False,False,False,False,False,False,False,True
2,11,2022-05-04,2023-06-26,29,1,1,1,418,False,False,False,False,False,False,False,False,True,False,True
0,11,2022-11-03,2023-06-26,42,0,2,1,235,True,False,False,False,False,False,False,False,False,False,True
2,14,2022-05-25,2023-06-25,49,1,2,2,396,False,False,False,False,True,False,False,False,False,False,True
1,13,2022-04-16,2023-06-26,42,1,1,1,436,False,False,False,True,False,False,False,False,False,False,True
0,13,2022-07-04,2023-06-24,29,1,3,1,355,False,True,False,False,False,False,False,False,False,False,True
2,10,2022-11-12,2023-06-28,29,1,2,1,228,False,False,False,False,False,False,True,False,False,False,True
1,12,2023-01-20,2023-06-26,49,1,2,2,157,False,False,False,False,False,False,False,True,False,False,True
0,14,2023-12-01,2023-06-25,32,1,1,1,-159,False,False,False,False,False,True,False,False,False,False,True
1,11,2022-04-29,2023-06-24,35,0,2,1,421,False,False,False,False,False,False,False,False,False,True,True
0,12,2022-04-27,2023-06-26,39,0,3,1,425,False,False,True,False,False,False,False,False,False,False,True
2,15,2022-03-06,2023-06-25,40,1,3,1,476,False,False,False,False,False,False,False,False,True,False,True
2,14,2022-04-23,2023-06-25,39,0,2,1,428,True,False,False,False,False,False,False,False,False,False,True
0,10,2022-04-22,2023-06-26,47,0,1,1,430,False,False,False,False,True,False,False,False,False,False,True
1,13,2022-12-04,2023-06-25,37,0,4,1,203,False,False,False,True,False,False,False,False,False,False,True
0,15,2022-05-23,2023-06-26,27,0,3,1,399,False,True,False,False,False,False,False,False,False,False,True
2,13,2022-10-19,2023-06-26,49,0,1,2,250,False,False,False,False,False,False,True,False,False,False,True
1,10,2022-03-12,2023-06-26,30,0,2,1,471,False,False,False,False,False,False,False,True,False,False,True
0,14,2022-09-26,2023-06-25,36,1,1,1,272,False,False,False,False,False,True,False,False,False,False,True
1,15,2022-06-16,2023-06-27,33,1,3,1,376,False,False,False,False,False,False,False,False,False,True,True
0,13,2022-05-16,2023-06-25,30,0,1,1,405,False,False,True,False,False,False,False,False,False,False,True
2,15,2022-05-26,2023-06-26,36,0,2,1,396,False,False,False,False,False,False,False,False,True,False,True
2,13,2022-04-26,2023-06-25,28,0,1,1,425,True,False,False,False,False,False,False,False,False,False,True
0,11,2022-12-05,2023-06-25,47,0,2,1,202,False,False,False,False,True,False,False,False,False,False,True
1,12,2022-01-03,2023-06-25,33,0,4,1,538,False,False,False,True,False,False,False,False,False,False,True
0,13,2022-10-07,2023-06-24,49,0,1,2,260,False,True,False,False,False,False,False,False,False,False,True
2,15,2022-07-16,2023-06-27,44,0,4,1,346,False,False,False,False,False,False,True,False,False,False,True
1,13,2022-02-09,2023-06-26,47,1,4,1,502,False,False,False,False,False,False,False,True,False,False,True
0,11,2022-09-18,2023-06-26,37,0,2,1,281,False,False,False,False,False,True,False,False,False,False,True
1,10,2022-08-07,2023-06-25,46,1,1,1,322,False,False,False,False,False,False,False,False,False,True,True
0,14,2022-06-26,2023-06-27,50,0,3,2,366,False,False,True,False,False,False,False,False,False,False,True
2,11,2022-05-08,2023-06-25,50,1,1,2,413,False,False,False,False,False,False,False,False,True,False,True
2,14,2022-08-19,2023-06-27,37,1,1,1,312,True,False,False,False,False,False,False,False,False,False,True
0,11,2022-08-26,2023-06-24,50,0,3,2,302,False,False,False,False,True,False,False,False,False,False,True
1,13,2022-09-06,2023-06-24,45,0,4,1,291,False,False,False,True,False,False,False,False,False,False,True
0,14,2022-09-27,2023-06-23,45,1,2,1,269,False,True,False,False,False,False,False,False,False,False,True
2,10,2022-10-18,2023-06-27,49,0,1,2,252,False,False,False,False,False,False,True,False,False,False,True
1,14,2022-10-31,2023-06-25,39,0,2,1,237,False,False,False,False,False,False,False,True,False,False,True
0,11,2022-10-13,2023-06-25,45,0,2,1,255,False,False,False,False,False,True,False,False,False,False,True
1,11,2022-04-07,2023-06-27,49,0,4,2,446,False,False,False,False,False,False,False,False,False,True,True
0,12,2022-06-26,2023-06-27,31,0,2,1,366,False,False,True,False,False,False,False,False,False,False,True
2,13,2022-07-31,2023-06-24,42,0,4,1,328,False,False,False,False,False,False,False,False,True,False,True
2,12,2022-07-27,2023-06-24,37,1,3,1,332,True,False,False,False,False,False,False,False,False,False,True
0,12,2022-07-30,2023-06-25,30,1,4,1,330,False,False,False,False,True,False,False,False,False,False,True
1,11,2022-06-08,2023-06-25,40,1,3,1,382,False,False,False,True,False,False,False,False,False,False,True
0,15,2022-09-16,2023-06-24,45,0,3,1,281,False,True,False,False,False,False,False,False,False,False,True
2,15,2023-05-01,2023-06-23,36,0,2,1,53,False,False,False,False,False,False,True,False,False,False,True
1,11,2022-10-12,2023-06-24,41,1,1,1,255,False,False,False,False,False,False,False,True,False,False,True
0,14,2022-11-22,2023-06-26,49,0,1,2,216,False,False,False,False,False,True,False,False,False,False,True
1,15,2022-11-15,2023-06-27,40,1,2,1,224,False,False,False,False,False,False,False,False,False,True,True
0,11,2022-10-28,2023-06-26,36,1,4,1,241,False,False,True,False,False,False,False,False,False,False,True
2,12,2022-08-09,2023-06-24,49,0,4,2,319,False,False,False,False,False,False,False,False,True,False,True
2,13,2022-06-30,2023-06-28,43,0,1,1,363,True,False,False,False,False,False,False,False,False,False,True
0,13,2022-02-09,2023-06-27,50,0,3,2,503,False,False,False,False,True,False,False,False,False,False,True
1,14,2022-08-10,2023-06-24,51,0,4,2,318,False,False,False,True,False,False,False,False,False,False,True
0,15,2022-11-13,2023-06-25,44,1,4,1,224,False,True,False,False,False,False,False,False,False,False,True
2,12,2022-11-15,2023-06-28,27,1,2,1,225,False,False,False,False,False,False,True,False,False,False,True
1,12,2022-11-16,2023-06-25,46,0,3,1,221,False,False,False,False,False,False,False,True,False,False,True
0,12,2022-11-26,2023-06-27,29,1,2,1,213,False,False,False,False,False,True,False,False,False,False,True
0,12,2022-11-26,2023-06-25,47,1,3,1,211,False,False,False,False,False,False,False,False,False,True,True
0,10,2022-12-12,2023-06-26,48,0,3,1,196,False,False,True,False,False,False,False,False,False,False,True
2,12,2023-08-01,2023-06-25,34,0,3,1,-37,False,False,False,False,False,False,False,False,True,False,True
1,15,2022-11-27,2023-06-29,40,0,3,1,214,True,False,False,False,False,False,False,False,False,False,True
0,14,2022-11-10,2023-06-27,48,0,3,1,229,False,False,False,False,True,False,False,False,False,False,True
0,10,2022-09-27,2023-06-26,35,1,3,1,272,False,False,False,True,False,False,False,False,False,False,True
1,12,2022-09-30,2023-06-24,51,0,3,2,267,False,True,False,False,False,False,False,False,False,False,True
2,10,2022-04-11,2023-06-27,39,1,4,1,442,False,False,False,False,False,False,True,False,False,False,True
2,13,2022-04-11,2023-06-27,29,1,3,1,442,False,False,False,False,False,False,False,True,False,False,True
0,12,2022-10-30,2023-06-26,51,1,1,2,239,False,False,False,False,False,True,False,False,False,False,True
1,11,2022-10-29,2023-06-24,43,1,3,1,238,False,False,False,False,False,False,False,False,False,True,True
2,11,2022-08-30,2023-06-27,28,1,3,1,301,False,False,True,False,False,False,False,False,False,False,True
0,15,2022-07-07,2023-06-26,50,0,4,2,354,False,False,False,False,False,False,False,False,True,False,True
2,14,2022-05-26,2023-06-27,44,0,1,1,397,True,False,False,False,False,False,False,False,False,False,True
1,11,2022-05-17,2023-06-25,50,1,1,2,404,False,False,False,False,True,False,False,False,False,False,True
0,11,2022-08-05,2023-06-26,39,0,3,1,325,False,False,False,True,False,False,False,False,False,False,True
1,13,2022-07-07,2023-06-25,46,0,2,1,353,False,True,False,False,False,False,False,False,False,False,True
2,15,2022-07-17,2023-06-28,48,1,3,1,346,False,False,False,False,False,False,True,False,False,False,True
0,15,2022-12-23,2023-06-26,38,1,4,1,185,False,False,False,False,False,False,False,True,False,False,True
2,13,2022-06-27,2023-06-26,38,1,3,1,364,False,False,False,False,False,True,False,False,False,False,True
1,13,2022-05-31,2023-06-27,47,1,1,1,392,False,False,False,False,False,False,False,False,False,True,True
0,12,2022-02-06,2023-06-26,37,1,1,1,505,False,False,True,False,False,False,False,False,False,False,True
2,11,2022-05-25,2023-06-27,33,1,1,1,398,False,False,False,False,False,False,False,False,True,False,True
1,15,2022-04-26,2023-06-26,28,1,3,1,426,True,False,False,False,False,False,False,False,False,False,True
0,13,2022-04-20,2023-06-26,47,1,4,1,432,False,False,False,False,True,False,False,False,False,False,True
1,11,2022-03-05,2023-06-25,38,0,3,1,477,False,False,False,True,False,False,False,False,False,False,True
0,12,2022-07-07,2023-06-27,27,1,4,1,355,False,True,False,False,False,False,False,False,False,False,True
2,13,2022-09-15,2023-06-26,34,1,3,1,284,False,False,False,False,False,False,True,False,False,False,True
2,14,2022-09-16,2023-06-27,42,0,3,1,284,False,False,False,False,False,False,False,True,False,False,True
0,14,2022-09-08,2023-06-26,28,1,1,1,291,False,False,False,False,False,True,False,False,False,False,True
1,15,2022-06-25,2023-06-27,30,1,1,1,367,False,False,False,False,False,False,False,False,False,True,True
0,11,2022-05-30,2023-06-26,38,0,3,1,392,False,False,True,False,False,False,False,False,False,False,True
2,15,2022-05-21,2023-06-25,45,0,2,1,400,False,False,False,False,False,False,False,False,True,False,True
1,12,2022-05-20,2023-06-27,48,0,4,1,403,True,False,False,False,False,False,False,False,False,False,True
0,13,2022-05-20,2023-06-26,46,0,4,1,402,False,False,False,False,True,False,False,False,False,False,True
1,12,2022-05-30,2023-06-26,34,1,2,1,392,False,False,False,True,False,False,False,False,False,False,True
0,13,2022-06-17,2023-06-25,46,1,1,1,373,False,True,False,False,False,False,False,False,False,False,True
2,11,2022-07-16,2023-06-28,41,0,3,1,347,False,False,False,False,False,False,True,False,False,False,True
2,15,2022-05-08,2023-06-26,28,1,3,1,414,False,False,False,False,False,False,False,True,False,False,True
0,10,2022-07-17,2023-06-26,27,0,3,1,344,False,False,False,False,False,True,False,False,False,False,True
1,13,2022-04-07,2023-06-25,27,0,4,1,444,False,False,False,False,False,False,False,False,False,True,True
0,12,2022-07-13,2023-06-26,28,0,2,1,348,False,False,True,False,False,False,False,False,False,False,True
2,15,2022-07-25,2023-06-24,46,1,3,1,334,False,False,False,False,False,False,False,False,True,False,True
1,10,2022-09-08,2023-06-27,51,1,3,2,292,True,False,False,False,False,False,False,False,False,False,True
0,11,2022-05-08,2023-06-25,32,0,4,1,413,False,False,False,False,True,False,False,False,False,False,True
1,10,2022-08-17,2023-06-26,44,1,2,1,313,False,False,False,True,False,False,False,False,False,False,True
0,11,2022-08-09,2023-06-27,44,0,1,1,322,False,True,False,False,False,False,False,False,False,False,True
2,13,2022-10-16,2023-06-28,34,0,4,1,255,False,False,False,False,False,False,True,False,False,False,True
2,13,2022-10-15,2023-06-25,29,0,1,1,253,False,False,False,False,False,False,False,True,False,False,True
0,12,2022-04-09,2023-06-25,47,1,4,1,442,False,False,False,False,False,True,False,False,False,False,True
1,14,2022-08-20,2023-06-26,41,1,1,1,310,False,False,False,False,False,False,False,False,False,True,True
0,10,2022-10-08,2023-06-26,36,0,3,1,261,False,False,True,False,False,False,False,False,False,False,True
2,12,2022-02-08,2023-06-25,28,0,1,1,502,False,False,False,False,False,False,False,False,True,False,True
1,10,2022-01-08,2023-06-24,27,0,2,1,532,True,False,False,False,False,False,False,False,False,False,True
